experience_coding,python_user,r_user,sql_user,most_used,compensation
9.3,TRUE,TRUE,FALSE,Keras,52109
1.7,TRUE,FALSE,FALSE,PyTorch,10284
20.5,TRUE,FALSE,FALSE,Keras,43906
0.75,TRUE,FALSE,FALSE,None,67971
0.98,TRUE,FALSE,TRUE,None,58465
0.8,FALSE,TRUE,FALSE,None,64488
1.3,TRUE,FALSE,FALSE,None,7709
0.36,TRUE,FALSE,FALSE,Keras,1957
1.2,TRUE,FALSE,TRUE,Scikit-learn,4131
8.6,TRUE,FALSE,FALSE,Scikit-learn,26022
18.4,TRUE,FALSE,TRUE,None,29926
2.7,FALSE,FALSE,TRUE,None,62593
24.3,TRUE,TRUE,TRUE,None,109543
0.94,TRUE,FALSE,TRUE,None,107644
1.4,FALSE,TRUE,TRUE,None,1047
3.3,TRUE,FALSE,FALSE,None,59909
0.93,TRUE,FALSE,FALSE,None,68344
2.3,TRUE,FALSE,FALSE,TensorFlow,54427
0.59,FALSE,FALSE,FALSE,None,70930
1.2,TRUE,FALSE,FALSE,None,50835
8.5,TRUE,TRUE,TRUE,Keras,14151
3.3,FALSE,TRUE,FALSE,None,11681
21.1,TRUE,FALSE,TRUE,None,71808
1.2,FALSE,FALSE,FALSE,None,70991
12.2,TRUE,TRUE,TRUE,Scikit-learn,31626
3.8,FALSE,FALSE,FALSE,TensorFlow,52416
4.3,TRUE,FALSE,FALSE,Keras,288146
13.1,TRUE,FALSE,TRUE,TensorFlow,65143
24.3,TRUE,FALSE,FALSE,PyTorch,34866
1.6,TRUE,TRUE,FALSE,Keras,186
2.9,TRUE,FALSE,FALSE,Scikit-learn,60065
9.4,TRUE,FALSE,FALSE,None,40336
7.7,TRUE,FALSE,FALSE,Scikit-learn,115654
0.3,TRUE,FALSE,TRUE,None,431
9,TRUE,TRUE,FALSE,TensorFlow,59814
4.2,TRUE,FALSE,TRUE,TensorFlow,45413
1.9,FALSE,FALSE,FALSE,None,4196
8.3,TRUE,FALSE,FALSE,None,55751
0.21,TRUE,FALSE,FALSE,Scikit-learn,61912
18.8,TRUE,FALSE,FALSE,None,49478
9.3,FALSE,FALSE,TRUE,Scikit-learn,29139
1.8,TRUE,FALSE,FALSE,Keras,67272
2.8,TRUE,FALSE,FALSE,TensorFlow,70264
2.4,TRUE,FALSE,TRUE,Scikit-learn,264
15.3,TRUE,TRUE,TRUE,Keras,14853
3.9,TRUE,FALSE,FALSE,Scikit-learn,55482
0.3,TRUE,FALSE,FALSE,Scikit-learn,26
0.8,FALSE,FALSE,TRUE,None,250
0.79,TRUE,TRUE,FALSE,Scikit-learn,66025
11.1,TRUE,FALSE,TRUE,None,55906
0.24,TRUE,FALSE,FALSE,None,63754
19.7,TRUE,FALSE,TRUE,TensorFlow,86855
8.5,TRUE,FALSE,FALSE,Keras,63242
0.26,TRUE,FALSE,TRUE,None,70448
0.75,TRUE,FALSE,FALSE,Scikit-learn,68964
24.4,TRUE,FALSE,TRUE,Scikit-learn,111583
6.8,TRUE,FALSE,FALSE,Keras,52350
4.4,TRUE,FALSE,TRUE,None,58574
3.2,TRUE,TRUE,TRUE,Scikit-learn,330
0.84,TRUE,FALSE,TRUE,None,64478
16,TRUE,TRUE,FALSE,Scikit-learn,94273
4.9,TRUE,FALSE,TRUE,TensorFlow,62142
8.3,TRUE,FALSE,TRUE,Keras,5857
6.6,TRUE,FALSE,FALSE,Scikit-learn,194518
4,TRUE,FALSE,FALSE,None,60873
23.9,TRUE,FALSE,TRUE,None,55584
27,FALSE,FALSE,FALSE,PyTorch,949
0.91,TRUE,FALSE,FALSE,None,27748
2.2,TRUE,FALSE,TRUE,None,239
13.9,FALSE,FALSE,TRUE,None,120047
3.4,TRUE,FALSE,FALSE,None,332
1.4,TRUE,TRUE,TRUE,Scikit-learn,51428
6.6,TRUE,FALSE,TRUE,Scikit-learn,256063
2.6,TRUE,FALSE,TRUE,Scikit-learn,50783
8.5,TRUE,TRUE,TRUE,Keras,109423
28.2,TRUE,FALSE,TRUE,Scikit-learn,85525
2.7,TRUE,FALSE,FALSE,Scikit-learn,226
8.6,TRUE,FALSE,FALSE,Scikit-learn,13056
2.9,TRUE,FALSE,FALSE,Scikit-learn,8015
2.6,TRUE,FALSE,TRUE,Scikit-learn,450
7.5,FALSE,FALSE,TRUE,None,55219
1.3,TRUE,FALSE,FALSE,Scikit-learn,348
16.2,TRUE,FALSE,FALSE,None,53685
2.7,TRUE,FALSE,FALSE,TensorFlow,59456
1.8,TRUE,FALSE,FALSE,Scikit-learn,62821
7.1,TRUE,FALSE,FALSE,PyTorch,13478
1.9,TRUE,FALSE,FALSE,None,59666
0.41,TRUE,TRUE,TRUE,Scikit-learn,57673
2.3,TRUE,TRUE,FALSE,Scikit-learn,29472
11.8,TRUE,TRUE,TRUE,PyTorch,276659
4,TRUE,FALSE,TRUE,Scikit-learn,5119
5.4,TRUE,FALSE,TRUE,Scikit-learn,27631
3.8,FALSE,FALSE,FALSE,None,282
5.7,TRUE,FALSE,FALSE,Scikit-learn,34238
0,FALSE,FALSE,FALSE,None,106203
0,FALSE,FALSE,FALSE,None,74289
21.4,TRUE,FALSE,TRUE,Scikit-learn,226171
2.5,TRUE,FALSE,FALSE,TensorFlow,74445
7.6,TRUE,TRUE,FALSE,TensorFlow,67863
22.8,FALSE,FALSE,TRUE,None,65871
1.7,TRUE,FALSE,TRUE,None,67736
2.6,TRUE,FALSE,TRUE,Scikit-learn,785
2.1,TRUE,FALSE,FALSE,Scikit-learn,28073
1.9,TRUE,FALSE,TRUE,TensorFlow,20390
3.2,TRUE,FALSE,FALSE,Scikit-learn,4791
7.2,FALSE,FALSE,TRUE,None,16059
14.1,TRUE,FALSE,FALSE,Keras,62115
1.9,TRUE,FALSE,FALSE,Scikit-learn,73319
0.93,FALSE,FALSE,FALSE,None,44491
9.6,TRUE,FALSE,FALSE,None,74588
1.4,TRUE,TRUE,FALSE,None,74799
0.45,TRUE,FALSE,FALSE,None,57207
3.2,TRUE,FALSE,FALSE,Keras,14370
1,TRUE,FALSE,TRUE,Scikit-learn,57816
4.4,TRUE,FALSE,FALSE,TensorFlow,62513
17.7,TRUE,FALSE,FALSE,Keras,61763
8.7,FALSE,TRUE,FALSE,None,50427
28.9,TRUE,TRUE,TRUE,Scikit-learn,1129
0.58,TRUE,FALSE,FALSE,None,59687
1.3,FALSE,FALSE,FALSE,None,67959
11.3,FALSE,TRUE,FALSE,None,62849
3.1,TRUE,FALSE,TRUE,Scikit-learn,1337
2.5,TRUE,FALSE,FALSE,Keras,72317
5.9,TRUE,FALSE,TRUE,Keras,31044
2.7,TRUE,FALSE,TRUE,Keras,66163
1.1,TRUE,FALSE,TRUE,Scikit-learn,11165
16.5,FALSE,TRUE,FALSE,Scikit-learn,68871
7.5,TRUE,FALSE,TRUE,Keras,22332
25.2,TRUE,TRUE,FALSE,Scikit-learn,6196
0.88,TRUE,FALSE,FALSE,None,388
0.6,TRUE,FALSE,FALSE,Scikit-learn,12925
4.1,TRUE,FALSE,TRUE,Scikit-learn,3092
8.2,TRUE,FALSE,FALSE,PyTorch,8880
5.7,TRUE,FALSE,FALSE,PyTorch,65433
0.49,TRUE,FALSE,FALSE,Scikit-learn,13423
2.6,TRUE,FALSE,FALSE,Scikit-learn,4704
2.2,TRUE,FALSE,FALSE,Keras,740
9.2,TRUE,FALSE,FALSE,Scikit-learn,64640
4,TRUE,FALSE,TRUE,Scikit-learn,63
28.6,TRUE,FALSE,TRUE,None,79687
0.6,TRUE,FALSE,FALSE,Scikit-learn,63155
2.9,TRUE,FALSE,TRUE,None,54825
29.7,TRUE,FALSE,FALSE,TensorFlow,61352
1.7,TRUE,FALSE,FALSE,None,64184
24,TRUE,FALSE,TRUE,Keras,130578
1.7,TRUE,FALSE,FALSE,PyTorch,57821
0.66,TRUE,TRUE,TRUE,None,52061
3.2,TRUE,FALSE,TRUE,Scikit-learn,2279
2.2,TRUE,TRUE,FALSE,Scikit-learn,73945
0.97,TRUE,FALSE,FALSE,TensorFlow,62225
0.73,TRUE,FALSE,FALSE,None,52153
6.1,TRUE,FALSE,TRUE,Keras,32815
3.3,TRUE,FALSE,TRUE,PyTorch,178
0.34,TRUE,FALSE,FALSE,Scikit-learn,553
5.3,TRUE,FALSE,TRUE,TensorFlow,64796
0.93,TRUE,FALSE,FALSE,Scikit-learn,51701
4.3,TRUE,FALSE,FALSE,None,70917
2.7,FALSE,FALSE,FALSE,None,1672
1.4,FALSE,FALSE,TRUE,None,561
13.7,FALSE,FALSE,TRUE,None,64214
3.6,TRUE,FALSE,TRUE,Scikit-learn,32809
1.5,TRUE,FALSE,TRUE,Scikit-learn,61430
0.42,FALSE,FALSE,TRUE,TensorFlow,2852
29.1,TRUE,FALSE,TRUE,Scikit-learn,124867
23.9,TRUE,FALSE,TRUE,Scikit-learn,55354
0,FALSE,FALSE,FALSE,None,341
2.2,TRUE,FALSE,TRUE,Scikit-learn,3241
10,TRUE,FALSE,TRUE,Keras,114569
0.93,TRUE,TRUE,TRUE,None,5068
9.2,TRUE,FALSE,TRUE,TensorFlow,53406
15.1,TRUE,TRUE,TRUE,PyTorch,67586
14.6,TRUE,FALSE,FALSE,PyTorch,368
1.8,TRUE,FALSE,FALSE,PyTorch,66719
9.6,TRUE,TRUE,TRUE,None,61028
3.2,TRUE,FALSE,FALSE,TensorFlow,380
2.4,TRUE,FALSE,TRUE,Scikit-learn,104
1.9,TRUE,FALSE,FALSE,PyTorch,57262
0.98,FALSE,FALSE,FALSE,None,72756
16.7,TRUE,FALSE,TRUE,Scikit-learn,117471
6.6,TRUE,FALSE,TRUE,None,948
1.6,TRUE,FALSE,FALSE,TensorFlow,3458
3.7,TRUE,TRUE,FALSE,TensorFlow,62798
2.7,FALSE,FALSE,FALSE,None,59402
0.53,TRUE,FALSE,FALSE,Scikit-learn,54542
0.77,TRUE,TRUE,FALSE,Scikit-learn,69584
0.76,TRUE,FALSE,TRUE,TensorFlow,2762
0.73,TRUE,FALSE,FALSE,None,51493
0.34,TRUE,FALSE,TRUE,Keras,397
24.7,TRUE,FALSE,FALSE,Keras,268277
1.4,TRUE,TRUE,TRUE,Scikit-learn,13504
11.7,FALSE,FALSE,FALSE,Scikit-learn,236436
3.9,TRUE,FALSE,TRUE,Scikit-learn,69429
15,TRUE,TRUE,TRUE,Scikit-learn,183614
4.7,TRUE,FALSE,FALSE,Scikit-learn,62053
0.41,FALSE,FALSE,FALSE,None,20029
0,FALSE,FALSE,FALSE,None,64
2.3,TRUE,FALSE,TRUE,None,55068
2.2,TRUE,TRUE,TRUE,Keras,2756
1,TRUE,FALSE,FALSE,Keras,68080
1.9,TRUE,FALSE,TRUE,None,51110
0.44,TRUE,FALSE,FALSE,Scikit-learn,6055
0,FALSE,FALSE,FALSE,None,566
2.9,TRUE,FALSE,TRUE,None,57222
29,TRUE,TRUE,FALSE,TensorFlow,30662
12,TRUE,FALSE,FALSE,None,57836
3.2,TRUE,FALSE,FALSE,TensorFlow,8651
3.2,TRUE,FALSE,FALSE,PyTorch,50354
1.5,TRUE,FALSE,FALSE,TensorFlow,67366
1.8,FALSE,FALSE,TRUE,None,3181
0.75,TRUE,FALSE,FALSE,Keras,50292
20.1,FALSE,TRUE,FALSE,None,26892
19.2,TRUE,FALSE,FALSE,PyTorch,70349
8.7,TRUE,TRUE,TRUE,Scikit-learn,11195
0,FALSE,FALSE,FALSE,None,51080
4.9,FALSE,FALSE,FALSE,None,9638
21.5,TRUE,FALSE,FALSE,Scikit-learn,441
1.6,TRUE,FALSE,FALSE,TensorFlow,15222
0.37,TRUE,FALSE,FALSE,PyTorch,748
17.4,TRUE,FALSE,FALSE,Scikit-learn,65215
4.6,TRUE,FALSE,FALSE,Keras,25696
5.2,TRUE,FALSE,FALSE,Scikit-learn,54268
9.5,TRUE,FALSE,TRUE,PyTorch,62430
1.2,TRUE,TRUE,TRUE,None,57599
2,TRUE,FALSE,FALSE,None,61169
2.5,TRUE,FALSE,FALSE,Scikit-learn,72278
1.6,TRUE,FALSE,FALSE,None,56628
1.7,TRUE,TRUE,TRUE,Scikit-learn,58598
18.3,TRUE,FALSE,TRUE,None,104890
6.1,TRUE,FALSE,TRUE,TensorFlow,70778
0.48,TRUE,FALSE,FALSE,Scikit-learn,1920
2.9,TRUE,TRUE,TRUE,Scikit-learn,64650
2.9,TRUE,FALSE,TRUE,Scikit-learn,61957
1.6,TRUE,TRUE,FALSE,PyTorch,280
2.4,TRUE,FALSE,TRUE,None,53807
5.1,TRUE,TRUE,FALSE,Scikit-learn,4278
0.43,TRUE,FALSE,TRUE,None,62815
0.81,TRUE,TRUE,TRUE,Scikit-learn,55603
10.5,TRUE,FALSE,FALSE,None,45474
0.22,TRUE,TRUE,TRUE,None,59812
1.8,TRUE,FALSE,TRUE,Keras,10176
9.1,TRUE,TRUE,TRUE,TensorFlow,3449
4.3,TRUE,FALSE,FALSE,Keras,330
7.7,TRUE,FALSE,FALSE,None,50545
8.1,TRUE,TRUE,FALSE,TensorFlow,303
4.1,FALSE,TRUE,FALSE,Keras,64186
1.7,TRUE,TRUE,FALSE,None,1426
1.4,TRUE,FALSE,FALSE,Scikit-learn,750
22.9,TRUE,FALSE,TRUE,TensorFlow,74868
18.5,TRUE,FALSE,TRUE,Scikit-learn,26708
2.2,TRUE,FALSE,TRUE,PyTorch,64493
0.42,TRUE,TRUE,TRUE,TensorFlow,79
24.1,FALSE,FALSE,TRUE,None,72549
5.8,TRUE,FALSE,TRUE,Keras,28039
0.93,FALSE,FALSE,FALSE,None,59061
4.8,TRUE,FALSE,FALSE,Scikit-learn,69723
2.6,TRUE,FALSE,TRUE,Scikit-learn,69452
3.1,TRUE,FALSE,TRUE,Keras,22665
4,TRUE,FALSE,FALSE,Scikit-learn,214
9.9,TRUE,FALSE,FALSE,Scikit-learn,2355
7.2,TRUE,TRUE,TRUE,Keras,162385
5.4,TRUE,FALSE,TRUE,TensorFlow,5871
8.3,TRUE,FALSE,TRUE,TensorFlow,853
2.9,TRUE,FALSE,TRUE,PyTorch,3929
0.54,TRUE,FALSE,TRUE,Scikit-learn,58863
0.55,TRUE,FALSE,FALSE,TensorFlow,8009
0,FALSE,FALSE,FALSE,None,68498
0.36,FALSE,FALSE,FALSE,None,1948
1,TRUE,FALSE,TRUE,PyTorch,69648
6.3,TRUE,TRUE,TRUE,None,74877
2.3,TRUE,FALSE,FALSE,Keras,65598
0.68,FALSE,FALSE,TRUE,None,54524
1.6,TRUE,FALSE,TRUE,Keras,66262
0,FALSE,FALSE,FALSE,None,4427
0.58,FALSE,FALSE,FALSE,None,31841
0.85,TRUE,FALSE,FALSE,None,54481
2.9,TRUE,FALSE,TRUE,Scikit-learn,57717
3.4,TRUE,TRUE,TRUE,Scikit-learn,25721
25.4,TRUE,FALSE,TRUE,Scikit-learn,64217
8.8,TRUE,FALSE,TRUE,TensorFlow,2203
5.5,TRUE,TRUE,FALSE,TensorFlow,62142
4.2,TRUE,FALSE,TRUE,Scikit-learn,12573
14.2,TRUE,FALSE,TRUE,TensorFlow,13212
2.8,TRUE,FALSE,FALSE,Scikit-learn,71758
5.2,FALSE,FALSE,FALSE,None,4306
1.6,TRUE,FALSE,TRUE,Scikit-learn,835
1.3,TRUE,FALSE,FALSE,Scikit-learn,601
4.9,TRUE,TRUE,TRUE,Scikit-learn,61209
0,FALSE,FALSE,FALSE,None,365
0.4,TRUE,FALSE,FALSE,None,702
0.93,TRUE,TRUE,TRUE,None,67436
2.4,TRUE,FALSE,FALSE,Keras,73296
10.7,TRUE,FALSE,FALSE,TensorFlow,63999
2.1,TRUE,FALSE,TRUE,Keras,58760
2.4,TRUE,TRUE,TRUE,Scikit-learn,70522
14.8,FALSE,TRUE,TRUE,None,78489
3.5,TRUE,FALSE,TRUE,None,59768
21.8,TRUE,TRUE,FALSE,Scikit-learn,53040
4.3,TRUE,TRUE,TRUE,Scikit-learn,1894
12.9,TRUE,FALSE,FALSE,Scikit-learn,124879
2.5,TRUE,TRUE,TRUE,PyTorch,98886
0.96,TRUE,FALSE,FALSE,PyTorch,797
1.9,FALSE,TRUE,FALSE,None,67900
21.7,TRUE,FALSE,TRUE,PyTorch,169111
0.27,TRUE,TRUE,FALSE,None,69490
16.8,TRUE,FALSE,FALSE,PyTorch,18059
1.8,TRUE,FALSE,FALSE,None,61535
27.8,TRUE,TRUE,FALSE,TensorFlow,279
1,TRUE,TRUE,FALSE,Scikit-learn,4951
8.2,TRUE,FALSE,TRUE,Scikit-learn,675
2.5,TRUE,TRUE,TRUE,None,66662
2.2,TRUE,FALSE,TRUE,Scikit-learn,5345
1.3,TRUE,FALSE,FALSE,Scikit-learn,15827
7.1,TRUE,TRUE,TRUE,Scikit-learn,268
10,FALSE,FALSE,FALSE,None,63128
0.95,TRUE,FALSE,FALSE,Scikit-learn,51943
6.3,FALSE,TRUE,FALSE,None,7606
1.8,TRUE,FALSE,TRUE,TensorFlow,55361
0.29,TRUE,FALSE,FALSE,None,2284
4.9,TRUE,TRUE,FALSE,Scikit-learn,13232
0.73,TRUE,FALSE,FALSE,Scikit-learn,70
3.7,TRUE,FALSE,FALSE,Scikit-learn,51162
5.1,TRUE,FALSE,TRUE,Scikit-learn,24490
1.9,TRUE,FALSE,FALSE,TensorFlow,58763
0.21,TRUE,TRUE,TRUE,None,57140
0.36,TRUE,FALSE,FALSE,None,53937
9.9,TRUE,TRUE,TRUE,Keras,10720
1.3,TRUE,FALSE,TRUE,None,55375
13.1,TRUE,FALSE,TRUE,TensorFlow,9526
0.33,TRUE,FALSE,FALSE,Scikit-learn,74828
2.8,TRUE,TRUE,FALSE,Scikit-learn,584
1.4,TRUE,FALSE,FALSE,TensorFlow,42097
2.7,TRUE,FALSE,FALSE,Keras,62804
1.7,TRUE,FALSE,FALSE,None,4296
1.1,TRUE,FALSE,FALSE,Scikit-learn,60567
5.6,TRUE,TRUE,TRUE,None,102894
0.7,FALSE,TRUE,TRUE,None,29160
0.73,TRUE,TRUE,TRUE,Scikit-learn,1491
2.8,FALSE,FALSE,FALSE,Keras,614
9.4,TRUE,FALSE,TRUE,Keras,37053
2.4,TRUE,FALSE,TRUE,PyTorch,181179
3,TRUE,FALSE,FALSE,None,55377
8.4,TRUE,FALSE,TRUE,Scikit-learn,6947
3.4,TRUE,FALSE,TRUE,Scikit-learn,21934
0.64,TRUE,FALSE,TRUE,None,65
1.4,TRUE,FALSE,TRUE,None,57123
2,TRUE,FALSE,TRUE,Scikit-learn,1943
2.2,TRUE,FALSE,FALSE,Keras,67032
3.8,TRUE,FALSE,TRUE,None,63358
3.2,TRUE,FALSE,FALSE,Scikit-learn,28
0.95,TRUE,FALSE,FALSE,Scikit-learn,3519
2.6,FALSE,TRUE,FALSE,None,356
14.2,TRUE,FALSE,FALSE,TensorFlow,158644
0.64,TRUE,FALSE,FALSE,Scikit-learn,7226
16.7,TRUE,FALSE,TRUE,Scikit-learn,12915
0.83,TRUE,TRUE,TRUE,PyTorch,73268
2.9,TRUE,FALSE,TRUE,None,57188
0.49,TRUE,FALSE,FALSE,Scikit-learn,102
19.6,TRUE,FALSE,TRUE,Scikit-learn,3032
1.1,TRUE,FALSE,FALSE,None,123071
0.57,TRUE,FALSE,TRUE,PyTorch,250388
2.1,TRUE,FALSE,TRUE,TensorFlow,70915
2.4,TRUE,FALSE,TRUE,None,201
16.9,TRUE,TRUE,TRUE,None,246015
2.9,TRUE,FALSE,FALSE,TensorFlow,11378
9,FALSE,TRUE,FALSE,Scikit-learn,303
3.5,TRUE,FALSE,FALSE,TensorFlow,50638
0.91,TRUE,FALSE,TRUE,Scikit-learn,20749
6.4,TRUE,FALSE,FALSE,None,521
7,TRUE,FALSE,TRUE,TensorFlow,17911
2,FALSE,FALSE,TRUE,None,70675
0.56,TRUE,FALSE,FALSE,PyTorch,70432
0.67,TRUE,FALSE,FALSE,Scikit-learn,78601
0.69,TRUE,TRUE,TRUE,Scikit-learn,1282
9.1,TRUE,TRUE,FALSE,TensorFlow,99399
1.8,FALSE,FALSE,FALSE,PyTorch,1503
1.2,TRUE,FALSE,TRUE,Keras,53171
9.6,FALSE,FALSE,FALSE,None,57165
16.6,TRUE,TRUE,TRUE,Scikit-learn,25114
1.1,TRUE,FALSE,FALSE,Keras,26960
9,TRUE,FALSE,FALSE,Scikit-learn,60063
0,FALSE,FALSE,FALSE,None,610
4.5,TRUE,FALSE,FALSE,Keras,69739
0,FALSE,FALSE,FALSE,None,3134
6.8,TRUE,FALSE,TRUE,Scikit-learn,66837
0.54,TRUE,FALSE,TRUE,Scikit-learn,55165
3.6,FALSE,FALSE,FALSE,Keras,988
14.6,FALSE,FALSE,FALSE,None,55580
17,TRUE,TRUE,TRUE,TensorFlow,76201
0.67,TRUE,FALSE,FALSE,Keras,64966
0.92,FALSE,TRUE,FALSE,None,6350
0.7,TRUE,FALSE,FALSE,TensorFlow,74951
6,TRUE,TRUE,FALSE,Keras,51312
0.36,FALSE,TRUE,FALSE,None,666
5.1,TRUE,TRUE,TRUE,Scikit-learn,293904
4.8,TRUE,FALSE,TRUE,PyTorch,106322
0.43,FALSE,FALSE,FALSE,None,60814
0.39,TRUE,FALSE,FALSE,None,70572
0.88,TRUE,FALSE,TRUE,Scikit-learn,68837
0.55,TRUE,FALSE,TRUE,Scikit-learn,62093
0.62,TRUE,FALSE,TRUE,None,54114
2.8,TRUE,FALSE,TRUE,PyTorch,979
0.96,TRUE,TRUE,FALSE,Scikit-learn,2235
1.4,TRUE,FALSE,FALSE,Keras,3303
25.8,TRUE,FALSE,FALSE,Scikit-learn,71650
1.5,TRUE,FALSE,FALSE,None,5145
0.98,TRUE,FALSE,FALSE,None,56213
3.3,FALSE,FALSE,FALSE,None,57850
2.1,TRUE,FALSE,FALSE,Scikit-learn,62878
4.6,TRUE,TRUE,FALSE,Scikit-learn,53195
9.6,FALSE,FALSE,TRUE,TensorFlow,2312
1.3,FALSE,TRUE,TRUE,None,163016
0.26,TRUE,FALSE,FALSE,TensorFlow,80274
9.6,TRUE,TRUE,FALSE,None,34215
2.3,TRUE,FALSE,FALSE,Scikit-learn,68870
1.7,TRUE,FALSE,TRUE,TensorFlow,245
11.1,TRUE,FALSE,TRUE,Scikit-learn,92681
3.3,TRUE,FALSE,FALSE,Scikit-learn,72998
0.84,TRUE,FALSE,FALSE,None,61803
3.7,TRUE,FALSE,FALSE,Scikit-learn,269443
1.5,TRUE,FALSE,TRUE,None,58537
1.9,TRUE,TRUE,TRUE,Scikit-learn,160989
2.9,TRUE,FALSE,TRUE,Keras,21386
25.3,TRUE,FALSE,FALSE,Keras,262267
11,TRUE,TRUE,FALSE,Scikit-learn,40701
