experience_coding,python_user,r_user,sql_user,most_used,compensation,categories
6.8,True,False,False,Keras,52350,5-10 Years
4.4,True,False,True,,58574, < 5 Years
3.2,True,True,True,Scikit-learn,330, < 5 Years
0.84,True,False,True,,64478, < 5 Years
16.0,True,True,False,Scikit-learn,94273,15-20 Years
4.9,True,False,True,TensorFlow,62142, < 5 Years
8.3,True,False,True,Keras,5857,5-10 Years
6.6,True,False,False,Scikit-learn,194518,5-10 Years
4.0,True,False,False,,60873, < 5 Years
23.9,True,False,True,,55584,20-25 Years
27.0,False,False,False,PyTorch,949,25+ Years
0.91,True,False,False,,27748, < 5 Years
2.2,True,False,True,,239, < 5 Years
13.9,False,False,True,,120047,10-15 Years
3.4,True,False,False,,332, < 5 Years
1.4,True,True,True,Scikit-learn,51428, < 5 Years
6.6,True,False,True,Scikit-learn,256063,5-10 Years
2.6,True,False,True,Scikit-learn,50783, < 5 Years
8.5,True,True,True,Keras,109423,5-10 Years
28.2,True,False,True,Scikit-learn,85525,25+ Years
2.7,True,False,False,Scikit-learn,226, < 5 Years
8.6,True,False,False,Scikit-learn,13056,5-10 Years
2.9,True,False,False,Scikit-learn,8015, < 5 Years
2.6,True,False,True,Scikit-learn,450, < 5 Years
7.5,False,False,True,,55219,5-10 Years
1.3,True,False,False,Scikit-learn,348, < 5 Years
16.2,True,False,False,,53685,15-20 Years
2.7,True,False,False,TensorFlow,59456, < 5 Years
1.8,True,False,False,Scikit-learn,62821, < 5 Years
7.1,True,False,False,PyTorch,13478,5-10 Years
1.9,True,False,False,,59666, < 5 Years
0.41,True,True,True,Scikit-learn,57673, < 5 Years
2.3,True,True,False,Scikit-learn,29472, < 5 Years
11.8,True,True,True,PyTorch,276659,10-15 Years
4.0,True,False,True,Scikit-learn,5119, < 5 Years
5.4,True,False,True,Scikit-learn,27631,5-10 Years
3.8,False,False,False,,282, < 5 Years
5.7,True,False,False,Scikit-learn,34238,5-10 Years
0.0,False,False,False,,106203, < 5 Years
0.0,False,False,False,,74289, < 5 Years
21.4,True,False,True,Scikit-learn,226171,20-25 Years
2.5,True,False,False,TensorFlow,74445, < 5 Years
7.6,True,True,False,TensorFlow,67863,5-10 Years
22.8,False,False,True,,65871,20-25 Years
1.7,True,False,True,,67736, < 5 Years
2.6,True,False,True,Scikit-learn,785, < 5 Years
2.1,True,False,False,Scikit-learn,28073, < 5 Years
1.9,True,False,True,TensorFlow,20390, < 5 Years
3.2,True,False,False,Scikit-learn,4791, < 5 Years
7.2,False,False,True,,16059,5-10 Years
14.1,True,False,False,Keras,62115,10-15 Years
1.9,True,False,False,Scikit-learn,73319, < 5 Years
0.93,False,False,False,,44491, < 5 Years
9.6,True,False,False,,74588,5-10 Years
1.4,True,True,False,,74799, < 5 Years
0.45,True,False,False,,57207, < 5 Years
3.2,True,False,False,Keras,14370, < 5 Years
1.0,True,False,True,Scikit-learn,57816, < 5 Years
4.4,True,False,False,TensorFlow,62513, < 5 Years
17.7,True,False,False,Keras,61763,15-20 Years
8.7,False,True,False,,50427,5-10 Years
28.9,True,True,True,Scikit-learn,1129,25+ Years
0.58,True,False,False,,59687, < 5 Years
1.3,False,False,False,,67959, < 5 Years
11.3,False,True,False,,62849,10-15 Years
3.1,True,False,True,Scikit-learn,1337, < 5 Years
2.5,True,False,False,Keras,72317, < 5 Years
5.9,True,False,True,Keras,31044,5-10 Years
2.7,True,False,True,Keras,66163, < 5 Years
1.1,True,False,True,Scikit-learn,11165, < 5 Years
16.5,False,True,False,Scikit-learn,68871,15-20 Years
7.5,True,False,True,Keras,22332,5-10 Years
25.2,True,True,False,Scikit-learn,6196,25+ Years
0.88,True,False,False,,388, < 5 Years
0.6,True,False,False,Scikit-learn,12925, < 5 Years
4.1,True,False,True,Scikit-learn,3092, < 5 Years
8.2,True,False,False,PyTorch,8880,5-10 Years
5.7,True,False,False,PyTorch,65433,5-10 Years
0.49,True,False,False,Scikit-learn,13423, < 5 Years
2.6,True,False,False,Scikit-learn,4704, < 5 Years
2.2,True,False,False,Keras,740, < 5 Years
9.2,True,False,False,Scikit-learn,64640,5-10 Years
4.0,True,False,True,Scikit-learn,63, < 5 Years
28.6,True,False,True,,79687,25+ Years
0.6,True,False,False,Scikit-learn,63155, < 5 Years
2.9,True,False,True,,54825, < 5 Years
29.7,True,False,False,TensorFlow,61352,25+ Years
1.7,True,False,False,,64184, < 5 Years
24.0,True,False,True,Keras,130578,20-25 Years
1.7,True,False,False,PyTorch,57821, < 5 Years
0.66,True,True,True,,52061, < 5 Years
3.2,True,False,True,Scikit-learn,2279, < 5 Years
2.2,True,True,False,Scikit-learn,73945, < 5 Years
0.97,True,False,False,TensorFlow,62225, < 5 Years
0.73,True,False,False,,52153, < 5 Years
6.1,True,False,True,Keras,32815,5-10 Years
3.3,True,False,True,PyTorch,178, < 5 Years
0.34,True,False,False,Scikit-learn,553, < 5 Years
5.3,True,False,True,TensorFlow,64796,5-10 Years
0.93,True,False,False,Scikit-learn,51701, < 5 Years
4.3,True,False,False,,70917, < 5 Years
2.7,False,False,False,,1672, < 5 Years
1.4,False,False,True,,561, < 5 Years
13.7,False,False,True,,64214,10-15 Years
3.6,True,False,True,Scikit-learn,32809, < 5 Years
1.5,True,False,True,Scikit-learn,61430, < 5 Years
0.42,False,False,True,TensorFlow,2852, < 5 Years
29.1,True,False,True,Scikit-learn,124867,25+ Years
23.9,True,False,True,Scikit-learn,55354,20-25 Years
0.0,False,False,False,,341, < 5 Years
2.2,True,False,True,Scikit-learn,3241, < 5 Years
10.0,True,False,True,Keras,114569,10-15 Years
0.93,True,True,True,,5068, < 5 Years
9.2,True,False,True,TensorFlow,53406,5-10 Years
15.1,True,True,True,PyTorch,67586,15-20 Years
14.6,True,False,False,PyTorch,368,10-15 Years
1.8,True,False,False,PyTorch,66719, < 5 Years
9.6,True,True,True,,61028,5-10 Years
3.2,True,False,False,TensorFlow,380, < 5 Years
2.4,True,False,True,Scikit-learn,104, < 5 Years
1.9,True,False,False,PyTorch,57262, < 5 Years
0.98,False,False,False,,72756, < 5 Years
16.7,True,False,True,Scikit-learn,117471,15-20 Years
6.6,True,False,True,,948,5-10 Years
1.6,True,False,False,TensorFlow,3458, < 5 Years
3.7,True,True,False,TensorFlow,62798, < 5 Years
2.7,False,False,False,,59402, < 5 Years
0.53,True,False,False,Scikit-learn,54542, < 5 Years
0.77,True,True,False,Scikit-learn,69584, < 5 Years
0.76,True,False,True,TensorFlow,2762, < 5 Years
0.73,True,False,False,,51493, < 5 Years
0.34,True,False,True,Keras,397, < 5 Years
24.7,True,False,False,Keras,268277,20-25 Years
1.4,True,True,True,Scikit-learn,13504, < 5 Years
11.7,False,False,False,Scikit-learn,236436,10-15 Years
3.9,True,False,True,Scikit-learn,69429, < 5 Years
15.0,True,True,True,Scikit-learn,183614,15-20 Years
4.7,True,False,False,Scikit-learn,62053, < 5 Years
0.41,False,False,False,,20029, < 5 Years
0.0,False,False,False,,64, < 5 Years
2.3,True,False,True,,55068, < 5 Years
2.2,True,True,True,Keras,2756, < 5 Years
1.0,True,False,False,Keras,68080, < 5 Years
1.9,True,False,True,,51110, < 5 Years
0.44,True,False,False,Scikit-learn,6055, < 5 Years
0.0,False,False,False,,566, < 5 Years
2.9,True,False,True,,57222, < 5 Years
29.0,True,True,False,TensorFlow,30662,25+ Years
12.0,True,False,False,,57836,10-15 Years
3.2,True,False,False,TensorFlow,8651, < 5 Years
3.2,True,False,False,PyTorch,50354, < 5 Years
1.5,True,False,False,TensorFlow,67366, < 5 Years
1.8,False,False,True,,3181, < 5 Years
0.75,True,False,False,Keras,50292, < 5 Years
20.1,False,True,False,,26892,20-25 Years
19.2,True,False,False,PyTorch,70349,15-20 Years
8.7,True,True,True,Scikit-learn,11195,5-10 Years
0.0,False,False,False,,51080, < 5 Years
4.9,False,False,False,,9638, < 5 Years
21.5,True,False,False,Scikit-learn,441,20-25 Years
1.6,True,False,False,TensorFlow,15222, < 5 Years
0.37,True,False,False,PyTorch,748, < 5 Years
17.4,True,False,False,Scikit-learn,65215,15-20 Years
4.6,True,False,False,Keras,25696, < 5 Years
5.2,True,False,False,Scikit-learn,54268,5-10 Years
9.5,True,False,True,PyTorch,62430,5-10 Years
1.2,True,True,True,,57599, < 5 Years
2.0,True,False,False,,61169, < 5 Years
2.5,True,False,False,Scikit-learn,72278, < 5 Years
1.6,True,False,False,,56628, < 5 Years
1.7,True,True,True,Scikit-learn,58598, < 5 Years
18.3,True,False,True,,104890,15-20 Years
6.1,True,False,True,TensorFlow,70778,5-10 Years
0.48,True,False,False,Scikit-learn,1920, < 5 Years
2.9,True,True,True,Scikit-learn,64650, < 5 Years
2.9,True,False,True,Scikit-learn,61957, < 5 Years
1.6,True,True,False,PyTorch,280, < 5 Years
2.4,True,False,True,,53807, < 5 Years
5.1,True,True,False,Scikit-learn,4278,5-10 Years
0.43,True,False,True,,62815, < 5 Years
0.81,True,True,True,Scikit-learn,55603, < 5 Years
10.5,True,False,False,,45474,10-15 Years
0.22,True,True,True,,59812, < 5 Years
1.8,True,False,True,Keras,10176, < 5 Years
9.1,True,True,True,TensorFlow,3449,5-10 Years
4.3,True,False,False,Keras,330, < 5 Years
7.7,True,False,False,,50545,5-10 Years
8.1,True,True,False,TensorFlow,303,5-10 Years
4.1,False,True,False,Keras,64186, < 5 Years
1.7,True,True,False,,1426, < 5 Years
1.4,True,False,False,Scikit-learn,750, < 5 Years
22.9,True,False,True,TensorFlow,74868,20-25 Years
18.5,True,False,True,Scikit-learn,26708,15-20 Years
2.2,True,False,True,PyTorch,64493, < 5 Years
0.42,True,True,True,TensorFlow,79, < 5 Years
24.1,False,False,True,,72549,20-25 Years
5.8,True,False,True,Keras,28039,5-10 Years
0.93,False,False,False,,59061, < 5 Years
4.8,True,False,False,Scikit-learn,69723, < 5 Years
2.6,True,False,True,Scikit-learn,69452, < 5 Years
3.1,True,False,True,Keras,22665, < 5 Years
4.0,True,False,False,Scikit-learn,214, < 5 Years
9.9,True,False,False,Scikit-learn,2355,5-10 Years
7.2,True,True,True,Keras,162385,5-10 Years
5.4,True,False,True,TensorFlow,5871,5-10 Years
8.3,True,False,True,TensorFlow,853,5-10 Years
2.9,True,False,True,PyTorch,3929, < 5 Years
0.54,True,False,True,Scikit-learn,58863, < 5 Years
0.55,True,False,False,TensorFlow,8009, < 5 Years
0.0,False,False,False,,68498, < 5 Years
0.36,False,False,False,,1948, < 5 Years
1.0,True,False,True,PyTorch,69648, < 5 Years
6.3,True,True,True,,74877,5-10 Years
2.3,True,False,False,Keras,65598, < 5 Years
0.68,False,False,True,,54524, < 5 Years
1.6,True,False,True,Keras,66262, < 5 Years
0.0,False,False,False,,4427, < 5 Years
0.58,False,False,False,,31841, < 5 Years
0.85,True,False,False,,54481, < 5 Years
2.9,True,False,True,Scikit-learn,57717, < 5 Years
3.4,True,True,True,Scikit-learn,25721, < 5 Years
25.4,True,False,True,Scikit-learn,64217,25+ Years
8.8,True,False,True,TensorFlow,2203,5-10 Years
5.5,True,True,False,TensorFlow,62142,5-10 Years
4.2,True,False,True,Scikit-learn,12573, < 5 Years
14.2,True,False,True,TensorFlow,13212,10-15 Years
2.8,True,False,False,Scikit-learn,71758, < 5 Years
5.2,False,False,False,,4306,5-10 Years
1.6,True,False,True,Scikit-learn,835, < 5 Years
1.3,True,False,False,Scikit-learn,601, < 5 Years
4.9,True,True,True,Scikit-learn,61209, < 5 Years
0.0,False,False,False,,365, < 5 Years
0.4,True,False,False,,702, < 5 Years
0.93,True,True,True,,67436, < 5 Years
2.4,True,False,False,Keras,73296, < 5 Years
10.7,True,False,False,TensorFlow,63999,10-15 Years
2.1,True,False,True,Keras,58760, < 5 Years
2.4,True,True,True,Scikit-learn,70522, < 5 Years
14.8,False,True,True,,78489,10-15 Years
3.5,True,False,True,,59768, < 5 Years
21.8,True,True,False,Scikit-learn,53040,20-25 Years
4.3,True,True,True,Scikit-learn,1894, < 5 Years
12.9,True,False,False,Scikit-learn,124879,10-15 Years
2.5,True,True,True,PyTorch,98886, < 5 Years
0.96,True,False,False,PyTorch,797, < 5 Years
1.9,False,True,False,,67900, < 5 Years
21.7,True,False,True,PyTorch,169111,20-25 Years
0.27,True,True,False,,69490, < 5 Years
16.8,True,False,False,PyTorch,18059,15-20 Years
1.8,True,False,False,,61535, < 5 Years
27.8,True,True,False,TensorFlow,279,25+ Years
1.0,True,True,False,Scikit-learn,4951, < 5 Years
8.2,True,False,True,Scikit-learn,675,5-10 Years
2.5,True,True,True,,66662, < 5 Years
2.2,True,False,True,Scikit-learn,5345, < 5 Years
1.3,True,False,False,Scikit-learn,15827, < 5 Years
7.1,True,True,True,Scikit-learn,268,5-10 Years
10.0,False,False,False,,63128,10-15 Years
0.95,True,False,False,Scikit-learn,51943, < 5 Years
6.3,False,True,False,,7606,5-10 Years
1.8,True,False,True,TensorFlow,55361, < 5 Years
0.29,True,False,False,,2284, < 5 Years
4.9,True,True,False,Scikit-learn,13232, < 5 Years
0.73,True,False,False,Scikit-learn,70, < 5 Years
3.7,True,False,False,Scikit-learn,51162, < 5 Years
5.1,True,False,True,Scikit-learn,24490,5-10 Years
1.9,True,False,False,TensorFlow,58763, < 5 Years
0.21,True,True,True,,57140, < 5 Years
0.36,True,False,False,,53937, < 5 Years
9.9,True,True,True,Keras,10720,5-10 Years
1.3,True,False,True,,55375, < 5 Years
13.1,True,False,True,TensorFlow,9526,10-15 Years
0.33,True,False,False,Scikit-learn,74828, < 5 Years
2.8,True,True,False,Scikit-learn,584, < 5 Years
1.4,True,False,False,TensorFlow,42097, < 5 Years
2.7,True,False,False,Keras,62804, < 5 Years
1.7,True,False,False,,4296, < 5 Years
1.1,True,False,False,Scikit-learn,60567, < 5 Years
5.6,True,True,True,,102894,5-10 Years
0.7,False,True,True,,29160, < 5 Years
0.73,True,True,True,Scikit-learn,1491, < 5 Years
2.8,False,False,False,Keras,614, < 5 Years
9.4,True,False,True,Keras,37053,5-10 Years
2.4,True,False,True,PyTorch,181179, < 5 Years
3.0,True,False,False,,55377, < 5 Years
8.4,True,False,True,Scikit-learn,6947,5-10 Years
3.4,True,False,True,Scikit-learn,21934, < 5 Years
0.64,True,False,True,,65, < 5 Years
1.4,True,False,True,,57123, < 5 Years
2.0,True,False,True,Scikit-learn,1943, < 5 Years
2.2,True,False,False,Keras,67032, < 5 Years
3.8,True,False,True,,63358, < 5 Years
3.2,True,False,False,Scikit-learn,28, < 5 Years
0.95,True,False,False,Scikit-learn,3519, < 5 Years
2.6,False,True,False,,356, < 5 Years
14.2,True,False,False,TensorFlow,158644,10-15 Years
0.64,True,False,False,Scikit-learn,7226, < 5 Years
16.7,True,False,True,Scikit-learn,12915,15-20 Years
0.83,True,True,True,PyTorch,73268, < 5 Years
2.9,True,False,True,,57188, < 5 Years
0.49,True,False,False,Scikit-learn,102, < 5 Years
19.6,True,False,True,Scikit-learn,3032,15-20 Years
1.1,True,False,False,,123071, < 5 Years
0.57,True,False,True,PyTorch,250388, < 5 Years
2.1,True,False,True,TensorFlow,70915, < 5 Years
2.4,True,False,True,,201, < 5 Years
16.9,True,True,True,,246015,15-20 Years
2.9,True,False,False,TensorFlow,11378, < 5 Years
9.0,False,True,False,Scikit-learn,303,5-10 Years
3.5,True,False,False,TensorFlow,50638, < 5 Years
0.91,True,False,True,Scikit-learn,20749, < 5 Years
6.4,True,False,False,,521,5-10 Years
7.0,True,False,True,TensorFlow,17911,5-10 Years
2.0,False,False,True,,70675, < 5 Years
0.56,True,False,False,PyTorch,70432, < 5 Years
0.67,True,False,False,Scikit-learn,78601, < 5 Years
0.69,True,True,True,Scikit-learn,1282, < 5 Years
9.1,True,True,False,TensorFlow,99399,5-10 Years
1.8,False,False,False,PyTorch,1503, < 5 Years
1.2,True,False,True,Keras,53171, < 5 Years
9.6,False,False,False,,57165,5-10 Years
16.6,True,True,True,Scikit-learn,25114,15-20 Years
1.1,True,False,False,Keras,26960, < 5 Years
9.0,True,False,False,Scikit-learn,60063,5-10 Years
0.0,False,False,False,,610, < 5 Years
4.5,True,False,False,Keras,69739, < 5 Years
0.0,False,False,False,,3134, < 5 Years
6.8,True,False,True,Scikit-learn,66837,5-10 Years
0.54,True,False,True,Scikit-learn,55165, < 5 Years
3.6,False,False,False,Keras,988, < 5 Years
14.6,False,False,False,,55580,10-15 Years
17.0,True,True,True,TensorFlow,76201,15-20 Years
0.67,True,False,False,Keras,64966, < 5 Years
0.92,False,True,False,,6350, < 5 Years
0.7,True,False,False,TensorFlow,74951, < 5 Years
6.0,True,True,False,Keras,51312,5-10 Years
0.36,False,True,False,,666, < 5 Years
5.1,True,True,True,Scikit-learn,293904,5-10 Years
4.8,True,False,True,PyTorch,106322, < 5 Years
0.43,False,False,False,,60814, < 5 Years
0.39,True,False,False,,70572, < 5 Years
0.88,True,False,True,Scikit-learn,68837, < 5 Years
0.55,True,False,True,Scikit-learn,62093, < 5 Years
0.62,True,False,True,,54114, < 5 Years
2.8,True,False,True,PyTorch,979, < 5 Years
0.96,True,True,False,Scikit-learn,2235, < 5 Years
1.4,True,False,False,Keras,3303, < 5 Years
25.8,True,False,False,Scikit-learn,71650,25+ Years
1.5,True,False,False,,5145, < 5 Years
0.98,True,False,False,,56213, < 5 Years
3.3,False,False,False,,57850, < 5 Years
2.1,True,False,False,Scikit-learn,62878, < 5 Years
4.6,True,True,False,Scikit-learn,53195, < 5 Years
9.6,False,False,True,TensorFlow,2312,5-10 Years
1.3,False,True,True,,163016, < 5 Years
0.26,True,False,False,TensorFlow,80274, < 5 Years
9.6,True,True,False,,34215,5-10 Years
2.3,True,False,False,Scikit-learn,68870, < 5 Years
1.7,True,False,True,TensorFlow,245, < 5 Years
11.1,True,False,True,Scikit-learn,92681,10-15 Years
3.3,True,False,False,Scikit-learn,72998, < 5 Years
0.84,True,False,False,,61803, < 5 Years
3.7,True,False,False,Scikit-learn,269443, < 5 Years
1.5,True,False,True,,58537, < 5 Years
1.9,True,True,True,Scikit-learn,160989, < 5 Years
2.9,True,False,True,Keras,21386, < 5 Years
25.3,True,False,False,Keras,262267,25+ Years
11.0,True,True,False,Scikit-learn,40701,10-15 Years
14.5,False,False,False,PyTorch,14184,10-15 Years
0.91,True,False,False,Keras,51286, < 5 Years
0.31,True,False,False,Scikit-learn,27246, < 5 Years
2.1,True,False,True,,894, < 5 Years
2.6,True,False,False,PyTorch,55032, < 5 Years
18.2,False,False,False,PyTorch,293074,15-20 Years
1.2,True,True,False,,62407, < 5 Years
1.3,False,False,True,Scikit-learn,57986, < 5 Years
27.7,True,False,True,Keras,197702,25+ Years
0.35,True,False,False,,58495, < 5 Years
2.6,False,True,True,TensorFlow,60397, < 5 Years
0.43,True,False,True,,51395, < 5 Years
1.8,True,False,False,,87556, < 5 Years
3.7,True,False,False,PyTorch,4853, < 5 Years
0.92,True,False,True,Scikit-learn,4795, < 5 Years
7.7,True,False,True,Keras,10487,5-10 Years
5.9,True,True,False,Keras,49634,5-10 Years
4.4,True,True,True,Scikit-learn,85067, < 5 Years
2.1,True,False,True,TensorFlow,60649, < 5 Years
4.5,False,False,False,,29055, < 5 Years
0.28,False,True,False,,402, < 5 Years
2.6,True,False,False,TensorFlow,12966, < 5 Years
0.82,True,True,True,,55051, < 5 Years
4.8,True,False,False,,55936, < 5 Years
0.53,True,False,False,TensorFlow,72312, < 5 Years
0.44,False,True,False,,55815, < 5 Years
19.8,True,False,False,PyTorch,85996,15-20 Years
15.5,True,False,False,Scikit-learn,73483,15-20 Years
0.95,True,False,False,TensorFlow,57116, < 5 Years
2.2,True,False,True,Keras,71248, < 5 Years
0.51,True,False,False,,2620, < 5 Years
2.9,False,False,False,,72617, < 5 Years
2.7,True,False,True,Scikit-learn,5838, < 5 Years
2.7,True,False,True,,51572, < 5 Years
1.9,True,True,False,,70132, < 5 Years
2.7,False,True,False,,53668, < 5 Years
0.33,False,False,False,,59530, < 5 Years
0.62,True,False,False,Scikit-learn,253920, < 5 Years
1.9,True,False,False,TensorFlow,549, < 5 Years
0.32,True,False,True,PyTorch,755, < 5 Years
3.3,True,False,False,Keras,38078, < 5 Years
0.54,True,False,False,Scikit-learn,525, < 5 Years
0.73,True,False,False,,47261, < 5 Years
0.0,False,False,False,,24554, < 5 Years
5.5,True,False,False,PyTorch,22085,5-10 Years
1.2,True,False,False,Keras,17937, < 5 Years
